EmployeeKey ParentEmployeeKey EmployeeNationalIDAlternateKey ParentEmployeeNationalIDAlternateKey SalesTerritoryKey FirstName                                          LastName                                           MiddleName                                         NameStyle Title                                              HireDate   BirthDate  LoginID                                                                                                                                                                                                                                                          EmailAddress                                       Phone                     MaritalStatus EmergencyContactName                               EmergencyContactPhone     SalariedFlag Gender PayFrequency BaseRate              VacationHours SickLeaveHours CurrentFlag SalespersonFlag DepartmentName                                     StartDate  EndDate    Status                                             EmployeePhoto
----------- ----------------- ------------------------------ ------------------------------------ ----------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- --------- -------------------------------------------------- ---------- ---------- ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------- ------------------------- ------------- -------------------------------------------------- ------------------------- ------------ ------ ------------ --------------------- ------------- -------------- ----------- --------------- -------------------------------------------------- ---------- ---------- -------------------------------------------------- ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1           18                14417807                       NULL                                 11                Guy                                                Gilbert                                            R                                                  0         Production Technician - WC60                       2012-01-28 1992-11-12 adventure-works\guy1                                                                                                                                                                                                                                             guy1@adventure-works.com                           320-555-0195              M             Guy Gilbert                                        320-555-0195              0            M      1            12,45                 21            30             1           0               Production                                         2012-01-28 NULL       Current                                            0xFFD8FFE000104A46494600010101004800480000FFED00D850686F746F73686F7020332E30003842494D04040000000000BC1C015A00031B25471C0200000200021C0278003B5375636365737366756C206D617475726520627573696E657373206D616E20776974682068616E647320666F6C646564206F76657220776869
2           7                 253022876                      NULL                                 11                Kevin                                              Brown                                              F                                                  0         Marketing Assistant                                2012-08-26 1997-12-01 adventure-works\kevin0                                                                                                                                                                                                                                           kevin0@adventure-works.com                         150-555-0189              S             Kevin Brown                                        150-555-0189              0            M      2            13,4615               42            41             1           0               Marketing                                          2012-08-26 NULL       Current                                            0xFFD8FFE000104A46494600010101004800480000FFED020450686F746F73686F7020332E30003842494D04040000000001C31C015A00031B25471C0200000200021C0278004B536D696C696E6720636F6E666964656E74206D6174757265206D616E20696E2061206C696272617279206C6F6F6B696E672061742063616D65
3           14                509647174                      NULL                                 11                Roberto                                            Tamburello                                         NULL                                               0         Engineering Manager                                2013-06-11 1985-06-12 adventure-works\roberto0                                                                                                                                                                                                                                         roberto0@adventure-works.com                       212-555-0187              M             Roberto Tamburello                                 212-555-0187              1            M      2            43,2692               2             21             1           0               Engineering                                        2013-06-11 NULL       Current                                            0xFFD8FFE000104A4649460001010100FA00FA0000FFED014A50686F746F73686F7020332E30003842494D040400000000012D1C015A00031B25471C0200000200021C0219000343524D1C0219000B456C656374726F6E6963731C02190011536F6369616C204E6574776F726B696E671C0219000E4469676974616C2043616D
4           3                 112457891                      NULL                                 11                Rob                                                Walters                                            NULL                                               0         Senior Tool Designer                               2013-07-05 1985-07-23 adventure-works\rob0                                                                                                                                                                                                                                             rob0@adventure-works.com                           612-555-0100              S             Rob Walters                                        612-555-0100              0            M      2            29,8462               48            80             1           0               Tool Design                                        2013-07-05 2015-12-28 NULL                                               0xFFD8FFE000104A46494600010101004800480000FFED01B050686F746F73686F7020332E30003842494D04040000000001931C015A00031B25471C0200000200021C0278002E436C6F7365757020706F727472616974206F66206120736D61727420796F756E6720627573696E657373206D616E1C02690004393238351C02
4           3                 112457891                      NULL                                 11                Rob                                                Walters                                            NULL                                               0         Senior Tool Designer                               2013-07-05 1985-07-23 adventure-works\rob0                                                                                                                                                                                                                                             rob0@adventure-works.com                           612-555-0100              S             Rob Walters                                        612-555-0100              0            M      2            29,8462               48            80             1           0               Tool Design                                        2015-12-28 NULL       Current                                            0xFFD8FFE000104A46494600010101004800480000FFED01B050686F746F73686F7020332E30003842494D04040000000001931C015A00031B25471C0200000200021C0278002E436C6F7365757020706F727472616974206F66206120736D61727420796F756E6720627573696E657373206D616E1C02690004393238351C02
6           267               480168528                      NULL                                 11                Thierry                                            D'Hers                                             B                                                  0         Tool Designer                                      2013-07-11 1970-02-26 adventure-works\thierry0                                                                                                                                                                                                                                         thierry0@adventure-works.com                       168-555-0183              M             Thierry D'Hers                                     168-555-0183              0            M      2            25,00                 9             24             1           0               Tool Design                                        2013-07-11 NULL       Current                                            0xFFD8FFE000104A46494600010101004800480000FFED019E50686F746F73686F7020332E30003842494D04040000000001811C015A00031B25471C0200000200021C02780021536D696C696E672066616365206F66206120686170707920796F756E67206D616E1C02690004383134351C0250000C47656F72676520446F79
7           112               24756624                       NULL                                 11                David                                              Bradley                                            M                                                  0         Marketing Manager                                  2013-07-20 1985-10-17 adventure-works\david0                                                                                                                                                                                                                                           david0@adventure-works.com                         913-555-0172              S             David Bradley                                      913-555-0172              1            M      2            37,50                 40            40             1           0               Marketing                                          2013-07-20 2015-02-11 NULL                                               0xFFD8FFE000104A46494600010101012C012C0000FFED01D850686F746F73686F7020332E30003842494D04040000000001BC1C015A00031B25471C0200000200021C0278001F416E20496E6469616E20627573696E6573736D616E20696E206120737569741C0250000C416A617920426861736B61721C02050012496E6469
8           112               24756624                       NULL                                 11                David                                              Bradley                                            M                                                  0         Marketing Manager                                  2013-07-20 1985-10-17 adventure-works\david0                                                                                                                                                                                                                                           david0@adventure-works.com                         913-555-0172              S             David Bradley                                      913-555-0172              1            M      2            37,50                 40            40             1           0               Marketing                                          2015-02-12 NULL       Current                                            0xFFD8FFE000104A46494600010101012C012C0000FFED01D850686F746F73686F7020332E30003842494D04040000000001BC1C015A00031B25471C0200000200021C0278001F416E20496E6469616E20627573696E6573736D616E20696E206120737569741C0250000C416A617920426861736B61721C02050012496E6469
9           23                309738752                      NULL                                 11                JoLynn                                             Dobney                                             M                                                  0         Production Supervisor - WC60                       2013-07-26 1966-08-16 adventure-works\jolynn0                                                                                                                                                                                                                                          jolynn0@adventure-works.com                        903-555-0145              S             JoLynn Dobney                                      903-555-0145              0            F      2            25,00                 82            61             1           0               Production                                         2013-07-26 NULL       Current                                            0xFFD8FFE000104A46494600010101004800480000FFED01D050686F746F73686F7020332E30003842494D04040000000001B31C015A00031B25471C0200000200021C0278003D436F6E666964656E7420686170707920796F756E67204166726963616E20416D65726963616E20627573696E65737320776F6D616E20736D69
10          189               690627818                      NULL                                 11                Ruth                                               Ellerbrock                                         Ann                                                0         Production Technician - WC10                       2013-08-06 1967-01-03 adventure-works\ruth0                                                                                                                                                                                                                                            ruth0@adventure-works.com                          145-555-0130              M             Ruth Ellerbrock                                    145-555-0130              0            F      1            13,45                 83            61             1           0               Production                                         2013-08-06 NULL       Current                                            0xFFD8FFE000104A4649460001010100F000F00000FFED019850686F746F73686F7020332E30003842494D040400000000017B1C015A00031B25471C0200000200021C0278000B596F756E6720776F6D616E1C02500012567961636865736C617620536872616D6B6F1C0205000B596F756E6720776F6D616E1C021900104E65
